,x,y,people,boarding time
155,111.18012422360248,7.043363994743758,111.0,7.04
156,114.28571428571428,8.515111695137977,114.0,8.52
157,113.04347826086956,8.62023653088042,113.0,8.62
158,111.64596273291924,9.986859395532194,112.0,9.99
159,114.90683229813664,10.275952693823916,115.0,10.28
160,115.83850931677016,10.512483574244415,116.0,10.51
161,118.01242236024844,10.354796320630747,118.0,10.35
162,119.09937888198756,10.722733245729303,119.0,10.72
163,121.11801242236024,10.827858081471748,121.0,10.83
164,118.94409937888196,9.85545335085414,119.0,9.86
165,120.03105590062113,9.277266754270697,120.0,9.28
166,127.48447204968944,10.433639947437582,127.0,10.43
167,128.88198757763973,10.275952693823916,129.0,10.28
168,130.43478260869566,10.64388961892247,130.0,10.64
169,129.03726708074532,11.37976346911958,129.0,11.38
170,129.03726708074532,11.721419185282524,129.0,11.72
171,126.5527950310559,12.089356110381075,127.0,12.09
172,127.01863354037266,12.220762155059132,127.0,12.22
173,126.86335403726709,13.061760840998684,127.0,13.06
174,125.31055900621116,14.007884362680684,125.0,14.01
175,123.13664596273291,15.795006570302233,123.0,15.8
176,124.22360248447204,15.584756898817345,124.0,15.58
177,133.07453416149067,16.005256241787123,133.0,16.01
178,140.06211180124222,15.505913272010512,140.0,15.51
179,138.8198757763975,15.006570302233902,139.0,15.01
180,137.26708074534162,13.850197109067016,137.0,13.85
181,135.86956521739128,13.272010512483574,136.0,13.27
182,131.055900621118,12.982917214191852,131.0,12.98
183,133.07453416149067,12.693823915900133,133.0,12.69
184,130.90062111801242,12.247043363994743,131.0,12.25
185,131.055900621118,9.671484888304862,131.0,9.67
186,135.09316770186334,10.407358738501973,135.0,10.41
187,138.35403726708074,9.90801576872536,138.0,9.91
188,138.8198757763975,10.538764783180026,139.0,10.54
189,138.9751552795031,11.458607095926412,139.0,11.46
190,141.9254658385093,11.484888304862023,142.0,11.48
191,142.0807453416149,11.852825229960578,142.0,11.85
192,140.2173913043478,12.063074901445466,140.0,12.06
193,136.18012422360246,12.352168199737187,136.0,12.35
194,137.88819875776397,12.825229960578186,138.0,12.83
195,138.04347826086956,13.035479632063074,138.0,13.04
196,143.01242236024842,12.982917214191852,143.0,12.98
197,145.0310559006211,12.325886990801576,145.0,12.33
198,144.25465838509317,11.800262812089356,144.0,11.8
199,149.06832298136644,12.40473061760841,149.0,12.4
200,150.77639751552795,12.798948751642577,151.0,12.8
201,149.22360248447202,11.695137976346912,149.0,11.7
202,148.91304347826085,10.67017082785808,149.0,10.67
203,153.26086956521738,10.14454664914586,153.0,10.14
204,156.055900621118,12.877792378449408,156.0,12.88
205,156.98757763975155,13.16688567674113,157.0,13.17
206,159.3167701863354,13.245729303547964,159.0,13.25
207,159.0062111801242,13.482260183968462,159.0,13.48
208,158.85093167701862,13.876478318002627,159.0,13.88
209,161.18012422360246,14.007884362680684,161.0,14.01
210,162.88819875776397,13.823915900131404,163.0,13.82
211,161.9565217391304,13.114323258869907,162.0,13.11
212,158.85093167701862,11.984231274638631,159.0,11.98
213,159.3167701863354,11.984231274638631,159.0,11.98
214,159.3167701863354,11.984231274638631,159.0,11.98
215,159.93788819875775,11.826544021024969,160.0,11.83
216,163.9751552795031,11.274638633377135,164.0,11.27
217,165.06211180124222,13.035479632063074,165.0,13.04
218,165.06211180124222,13.245729303547964,165.0,13.25
219,166.9254658385093,13.245729303547964,167.0,13.25
220,166.9254658385093,13.639947437582128,167.0,13.64
221,165.99378881987576,13.771353482260183,166.0,13.77
222,168.167701863354,13.797634691195794,168.0,13.8
223,169.09937888198758,13.981603153745072,169.0,13.98
224,170.96273291925465,13.534822601839684,171.0,13.53
225,171.89440993788818,13.639947437582128,172.0,13.64
226,172.20496894409936,13.245729303547964,172.0,13.25
227,172.9813664596273,13.534822601839684,173.0,13.53
228,177.17391304347825,13.850197109067016,177.0,13.85
229,180.12422360248445,12.693823915900133,180.0,12.69
230,187.2670807453416,13.482260183968462,187.0,13.48
231,185.24844720496893,13.639947437582128,185.0,13.64
232,184.0062111801242,13.561103810775297,184.0,13.56
233,184.0062111801242,14.139290407358738,184.0,14.14
234,186.02484472049687,14.165571616294349,186.0,14.17
235,184.93788819875772,14.533508541392903,185.0,14.53
236,186.33540372670805,14.875164257555848,186.0,14.88
237,190.2173913043478,14.507227332457292,190.0,14.51
238,188.8198757763975,15.689881734559789,189.0,15.69
239,189.28571428571428,15.847568988173457,189.0,15.85
240,186.33540372670805,16.057818659658345,186.0,16.06
241,174.22360248447202,14.98028909329829,174.0,14.98
242,170.1863354037267,14.69119579500657,170.0,14.69
243,163.9751552795031,14.743758212877792,164.0,14.74
244,162.5776397515528,14.638633377135347,163.0,14.64
245,169.25465838509317,15.689881734559789,169.0,15.69
246,171.7391304347826,15.400788436268067,172.0,15.4
247,174.22360248447202,15.295663600525623,174.0,15.3
248,177.7950310559006,15.427069645203678,178.0,15.43
249,180.12422360248445,15.558475689881734,180.0,15.56
250,180.27950310559004,15.847568988173457,180.0,15.85
251,172.9813664596273,16.031537450722734,173.0,16.03
252,171.7391304347826,16.583442838370566,172.0,16.58
253,170.49689440993788,16.609724047306177,170.0,16.61
254,172.20496894409936,17.109067017082786,172.0,17.11
255,166.14906832298135,17.056504599211564,166.0,17.06
256,159.93788819875775,17.18791064388962,160.0,17.19
257,164.90683229813664,17.608409986859396,165.0,17.61
258,168.167701863354,18.31800262812089,168.0,18.32
259,170.1863354037267,18.896189224704337,170.0,18.9
260,164.1304347826087,19.21156373193167,164.0,19.21
261,151.24223602484471,19.185282522996054,151.0,19.19
262,146.89440993788818,18.02890932982917,147.0,18.03
263,144.09937888198758,18.23915900131406,144.0,18.24
264,144.09937888198758,18.23915900131406,144.0,18.24
265,145.0310559006211,18.160315374507228,145.0,18.16
266,144.09937888198758,16.47831800262812,144.0,16.48
267,136.18012422360246,17.47700394218134,136.0,17.48
268,147.9813664596273,14.349540078843626,148.0,14.35
269,149.06832298136644,13.876478318002627,149.0,13.88
270,147.82608695652172,13.534822601839684,148.0,13.53
271,187.2670807453416,16.583442838370566,187.0,16.58
272,183.22981366459624,16.898817345597898,183.0,16.9
273,186.8012422360248,17.529566360052563,187.0,17.53
274,175.0,18.97503285151117,175.0,18.98
275,173.1366459627329,18.10775295663601,173.0,18.11
276,178.26086956521738,19.08015768725361,178.0,19.08
277,176.86335403726707,19.26412614980289,177.0,19.26
